,종목명,종목코드,기업코드,날짜,분기,유동자산,부채총계,청산가치,weighted_avg,주식_종가,증감
0,지놈앤컴퍼니,314130,1276026,2021.06.21,2021년 1분기 보고서,99444117279,5760122962,93683994317,-0.006088094350589084,36250,-0.28921568627450983
2,웹젠,069080,405320,2021.06.21,2021년 1분기 보고서,314276519067,94382174001,219894345066,0.003303500353712701,31700,-0.23522316043425814
4,우리넷,115440,664048,2021.06.21,2021년 1분기 보고서,74625085569,37563510513,37061575056,-0.003270722517238158,8910,0.03484320557491289
6,마이크로디지탈,305090,1267967,2021.06.21,2021년 1분기 보고서,9950472707,10294936016,-344463309,0.007270848170309949,23800,0.2830188679245283
8,나노,187790,994994,2021.06.21,2021년 1분기 보고서,28248401252,27111418730,1136982522,-0.0014351660579221776,1830,0.2079207920792079
10,손오공,066910,306870,2021.06.21,2021년 1분기 보고서,29146591971,16129794502,13016797469,0.00040105387280211407,3010,0.12104283054003724
12,새로닉스,042600,147994,2021.06.21,2021년 1분기 보고서,18118292184,38307850915,-20189558731,-0.00013092127781206569,11050,0.023148148148148147
14,피씨디렉트,051380,297934,2021.06.21,2021년 1분기 보고서,82359213054,43373420759,38985792295,-0.0028831716653454054,11650,0.10952380952380952
16,케이엠제약,225430,1095704,2021.06.21,2021년 1분기 보고서,12922269436,15139792736,-2217523300,-0.002649696457922172,3040,0.17148362235067438
18,로보로보,215100,1063990,2021.06.21,2021년 1분기 보고서,14444134397,970676611,13473457786,-0.003393800413832906,4570,-0.12786259541984732
20,DSR제강,069730,151298,2021.06.21,2021년 1분기 보고서,87121944467,64008526208,23113418259,0.0034415235289725205,6470,0.17422867513611615
22,아이비김영,339950,1414422,2021.06.21,2021년 1분기 보고서,15738746337,25935889052,-10197142715,0.0016342332816899684,2825,0.6815476190476191
24,한국정밀기계,101680,257732,2021.06.21,2021년 1분기 보고서,51275725675,30526792225,20748933450,6.509495372598112e-05,1440,0.0
26,비비씨,318410,1153105,2021.06.21,2021년 1분기 보고서,28828621011,3789795411,25038825600,0.0009358155236654273,19000,-0.020618556701030927
28,삼기,122350,799177,2021.06.21,2021년 1분기 보고서,146108875018,288903971057,-142795096039,-0.0014079113856287542,4170,0.05037783375314862
30,유나이티드,033270,158963,2021.06.21,2021년 1분기 보고서,194670977157,85448895356,109222081801,-0.004143049705394786,53300,0.07894736842105263
32,지니언스,263860,962223,2021.06.21,2021년 1분기 보고서,27070846233,7706268189,19364578044,0.0023661166556476626,7450,0.01637107776261937
34,파라텍,033540,105138,2021.06.21,2021년 1분기 보고서,65183491466,53192442179,11991049287,-0.022436964076975593,3185,-0.651912568306011
36,예스코홀딩스,015360,105101,2021.06.21,2021년 1분기 보고서,225192404000,138203978000,86988426000,0.0034025778469537393,38900,0.1543026706231454
38,시노펙스,025320,203023,2021.06.21,2021년 1분기 보고서,49666048699,61163433967,-11497385268,0.0032701433099464414,3610,-0.019021739130434784
40,모나리자,012690,173102,2021.06.21,2021년 1분기 보고서,35914997626,20727599894,15187397732,-0.0004557011664490489,5430,0.03824091778202677
42,티웨이홀딩스,004870,109514,2021.06.21,2021년 1분기 보고서,14899954895,43525168751,-28625213856,0.009019504450178049,1540,0.11594202898550725
44,씨앤지하이테크,264660,605328,2021.06.21,2021년 1분기 보고서,62199444980,15711865365,46487579615,0.00036633465467338766,13300,0.007575757575757576
46,삼화왕관,004450,129235,2021.06.21,2021년 1분기 보고서,46300735991,86977147479,-40676411488,-0.007476624676213449,46350,0.21018276762402088
48,백산,035150,122551,2021.06.21,2021년 1분기 보고서,119465079925,119264124737,200955188,0.0035122919709983185,9000,-0.09090909090909091
50,피엔에이치테크,239890,1112889,2021.06.21,2021년 1분기 보고서,20438949135,12471244868,7967704267,-0.007461652965046371,36150,1.41
52,하림지주,003380,148364,2021.06.21,2021년 1분기 보고서,66403117423,683022735689,-616619618266,0.0071282745149751,10150,0.09611231101511879
54,에스코넥,096630,573269,2021.06.21,2021년 1분기 보고서,49052861270,61486649974,-12433788704,-0.007845597757005945,2495,0.0824295010845987
56,삼성제약,001360,126414,2021.06.21,2021년 1분기 보고서,93677734577,15553106086,78124628491,-0.007726202095084799,8680,0.4888507718696398
58,화인베스틸,133820,661847,2021.06.21,2021년 1분기 보고서,60064054646,97633646535,-37569591889,-0.004170692953744625,2900,0.10056925996204934
